ar,bs-Latn,bg,ca,zh-CHS,zh-CHT,hr,cs,da,nl,en,et,fi,fr,de,el,ht,he,hi,mww,hu,id,it,ja,sw,tlh,tlh-Qaak,ko,lv,lt,ms,mt,yua,no,otq,fa,pl,pt,ro,ru,sr-Cyrl,sr-Latn,sk,sl,es,sv,th,tr,uk,ur,vi,cy
مائة وواحد,sto jedan,сто един,un cent un,一百一,一百一,sto jedan,sto jedna,et hundrede et,honderd een,one hundred one,üks saja ühele,yksi,cent un,hundert eins,εκατόν μία,san yonn,001,एक सौ एक,ib puas ib,egy száz egy,seratus satu,cento uno,100 個,moja mia moja,wa' wa'vatlh wa',  ,1 백 1,simt viens,vienas šimtas vienas,satu ratus,mija wieħed u,ciento jump'éel,en hundre en,nthebe ne,یک صد,sto jeden,cento um,una sută una,Сто один,један сто један,jedan sto jedan,jeden,sto enega,ciento un,Pongo,ร้อยหนึ่ง,bir yüz bir,сто одному,ایک سو ایک,một trăm một,un gant o un
مائة واثنتين,jedan sto dva,една сто две,cent dos,一百零二,一百零二,jedan sto dva,sto dva,et hundrede to,honderd twee,one hundred two,üks saja kaks,yksi sata kaksi,cent deux,hundert,εκατόν δύο,en san de,אחד 100 שני,एक सौ दो,kaum ib ob tug,százhat,satu seratus dua,cento due,1 100 2,moja na mia mbili,wa' wa'vatlh cha',  ,1 백 2,simt divas,antrų metų šimtą,satu ratus dua,mija tnejn u,ciento ka'ap'éel,ett hundre og to,nthebe ma yoho,یک دو صد,sto dwa,uma centena de duas,o sută doi,сто два,један сто два,jedan sto dva,jeden set dvoch,eno sto dve,ciento dos,en hundra två,หนึ่งร้อยสอง,bir yüz iki,сто два,ایک سو دو,một trăm hai,un o ddau gant o
مائة واحد عشر,sto ten,сто десет,un cent deu,一个百十,一個百十,sto ten,sto deset,et hundrede ti,één honderd tien,one hundred ten,üks saja kümnest,SATA ten,cent dix,einhundert zehn,ένας εκατόν δέκα,dis pou san yon sèl,אחד עשר מאה,एक सौ दस,ib puas kaum,egy száz tíz,satu ratus sepuluh,cento dieci,1 100 10,mmoja mia kumi,wa' wa'vatlh wa'maH,  ,1 백 10,viens simts desmit,100 ten,satu ratus sepuluh,waħda minn mitejn għaxar,ciento lajuntúul,et hundre ti,nthebe 're̲t'a,یک صد ten,jeden sto dziesięć,cem dez,o sută zece,сто десять,један сто десет,jedan sto deset,jeden sto desať,ena sto desetih,ciento diez,en hundra tio,หนึ่งร้อยสิบ,bir yüz on,сто ten,ایک سو ten,một trăm mười,un gant o bob deg
مائة واحد عشر,stotinu i jedanaest,един сто Единадесета,un cent onze,一百年十一,一百年十一,stotinu i jedanaest,jedno sto jedenáct,One hundrede eleven,een honderd elf,one hundred eleven,üks saja eleven,yksi sata yksitoista,un cent onze,ein hundert elf,ένα εκατόν έντεκα,en san onz,אחד מאה 11,एक सौ ग्यारह,ib puas kaum ib,egy száz eleven,satu ratus sebelas,cento undici,1 つ 100 11,moja mia kumi na moja,wa' wa'vatlh eleven,  ,1 백 11,viens simts vienpadsmit,vienas šimtas vienuolika,satu ratus sebelas,ħdax-il mija waħda,juntúul ciento once,ett hundre elleve,'nar nthebe once,یازده صد یکی,w stu jedenastu,cento onze,o sută unsprezece,один сто одиннадцать,1 100 11,1 100 11,jeden set jedenásť,ena sto enajst,un ciento once,en hundra elva,หนึ่งร้อยสิบเอ็ด,bir yüz onbir,одинадцять двісті один,ایک سو گیارہ,một trăm mười một,un gant o un ar ddeg
ألف,tisuću,хиляда,mil,一千,一千,tisuću,jeden tisíc,tusind,duizend,one thousand,üks tuhat,tuhat,mille,tausend,χίλια,yon sèl mil,. אלף,एक हजार,ib txhiab,több ezer,seribu,mille,1000,elfu moja,wa' wa'SanID, ,한 천,viens tūkstotis,vieno tūkstančio,satu ribu,minn elf,1 mil,tusen,1 're̲t'anthebe,یک هزار,tysiąc,mil,mie,одна тысяча,једна хиљада,jedna hiljada,jeden tisíc,tisoč,1 mil,ett tusen,หนึ่งพัน,bin,одна тисяча,ایک ہزار,một ngàn,mil
عشرة آلاف,deset tisuća,десет хиляди,deu mil,1 万,1 萬,deset tisuća,deset tisíc,ti tusind,tienduizend,ten thousand,kümme tuhat,kymmenen tuhatta,dix mille,zehntausend,δέκα χιλιάδες,dimil (10.000),עשרת אלפים,दस हजार,vam,tízezer,sepuluh ribu,decine di migliaia,1 万,elfu kumi,netlh,,10 천,desmit tūkstoši,dešimt tūkstančių,sepuluh ribu,g axart elef,10 mil,ti tusen,10 're̲t'anthebe,ده هزار,dziesięć tysięcy,dez mil,zece mii,десять тысяч,десет хиљада,deset hiljada,desať tisíc,deset tisoč,10 mil,tio tusen,สิบพัน,on bin,десять тисяч,دس ہزار,mười ngàn,deng mil
عشرة آلاف,deset tisuća,десет хиляди,deu mil,1 万,1 萬,deset tisuća,deset tisíc,ti tusind,tienduizend,ten thousand,kümme tuhat,kymmenen tuhatta,dix mille,zehntausend,δέκα χιλιάδες,dimil (10.000),עשרת אלפים,दस हजार,vam,tízezer,sepuluh ribu,decine di migliaia,1 万,elfu kumi,netlh,,10 천,desmit tūkstoši,dešimt tūkstančių,sepuluh ribu,g axart elef,10 mil,ti tusen,10 're̲t'anthebe,ده هزار,dziesięć tysięcy,dez mil,zece mii,десять тысяч,десет хиљада,deset hiljada,desať tisíc,deset tisoč,10 mil,tio tusen,สิบพัน,on bin,десять тисяч,دس ہزار,mười ngàn,deng mil
مائة ألف,sto tisuća,сто хиляди,cent mil,10 万,10 萬,sto tisuća,sto tisíc,et hundrede tusinde,honderdduizend,one hundred thousand,sada tuhat,satatuhatta,cent mille,hunderttausend,εκατό χιλιάδες,yon sèl () sòlda,מאה אלף,एक सौ हज़ार,ib puas txhiab,százezer,seratus ribu,centomila,10 万,elfu mia moja,wa' bIp, ,한 백 천,simttūkstoš,vieną šimtą tūkstančių,satu ratus ribu,minn mitt elf,100 mil,hundre tusen,100 're̲t'anthebe,صد هزار,sto tysięcy,cem mil,o suta de mii,сто тысяч,сто хиљада,sto hiljada,sto tisíc,sto tisoč,100 mil,hundra tusen,หนึ่งร้อยพัน,yüz bin,сто тисяч,ایک لاکھ,một trăm ngàn,un can mil
الأولى,prvi,първи,primer,第一次,第一次,prvi,první,første,eerste,first,esimene,ensimmäinen,première,ersten,πρώτη,premye,הראשון,पहले,thawj,első,pertama,prima,最初,kwanza,wa'DIch,,첫 번째,pirmā,Pirmasis,pertama,ewwel,yáax,første,ndui,اول,pierwszy,primeiro,prima,Первый,први,prvi,prvý,prvi,primera,första,ครั้งแรก,ilk,перший,سب سے پہلے,đầu tiên,yn gyntaf
الثانية,drugi,секунда,segon,第二次,第二次,drugi,druhé,anden,tweede,second,teine,Toinen,seconde,Sekunde,δευτερόλεπτο,dezyèm,שנייה,दूसरा,thib ob,második,kedua,secondo,2 番目,Pili,cha'DIch,,두 번째,otrais,Antrasis,kedua,it-tieni,segundo,andre,mfe̲tsi,دوم,drugi,segundo,al doilea,второй,други,drugi,druhý,drugi,segundo,andra,วินาที,İkinci,другий,دوسری,Thứ hai,ail
الثالثة,Treći,трети,tercer,第三,第三,Treći,třetí,tredje,derde,third,kolmas,Kolmas,troisième,Dritte,Τρίτη,twazyèm,השלישי,तीसरा,thib peb,harmadik,ketiga,terzo,3 番目,tatu,wejDIch,,세 번째,trešais,trečiųjų,ketiga,terzi,tercera,tredje,tercera,سوم,trzecie,terceira,al treilea,Третий,Трећи,Treći,tretí,tretji,tercera,tredje,สาม,üçüncü,третій,تیسرا,Thứ ba,trydydd
الدورة الأربعون,četrdesetina,четиридесет,fortieth,第四十届,第四十屆,četrdesetina,oslavu,fyrretyvende,veertigste,fortieth,neljakümnes,neljäskymmenes,quarantième session,vierzigsten,τεσσαρακοστή,40e,fortieth,चालीसवें,fortieth,negyven,keempat puluh,quarantesimo,40,arobaini,fortieth,,fortieth,fortieth,fortieth,n,fortieth,cuadragésimo,fortieth,cuadragésimo,چهل,fortieth,Bodas de esmeralda,patruzecime,сороковой,четрдесете,četrdesete,štyridsiatych,fortieth,cuadragésimo,40,fortieth,40,сорокових,چالیسواں,fortieth,ddeugain
الرابعة,četvrti,четвърти,quart,第四,第四,četvrti,Čtvrtá,fjerde,vierde,fourth,neljas,Neljäs,quatrième,vierte,τέταρτη,katriyèm,הרביעי,चौथे,plaub,negyedik,keempat,quarto,第 4 回,nne,fourth,,4,ceturtais,Ketvirtoji,keempat,ir-raba ',nal,fjerde,'re̲t'a ma ku̲t'a,چهارم,czwarty,quarta,a patra,Четвертый,четврти,četvrti,štvrtý,četrti,cuarto,fjärde,สี่,Dördüncü,Четвертий,چوتھی,Thứ tư,Pedwerydd
الخامسة,Peti,Пета,cinquè,第五,第五,Peti,pátý,femte,vijfde,fifth,viies,Viides,cinquième,fünfte,πέμπτο,senkyèm,החמישי,पांचवें,fifth,ötödik,kelima,quinto,第 5 回,tano,fifth,,다섯 번째,piektā,Penktasis,kelima,ħames,quinto,femte,quinto,پنجم,piąty,quinto,a cincea,Пятый,Пети,Peti,piaty,peti,quinto,femte,ห้า,Beşinci,П'ятий,پانچویں,Thứ năm,Pumed
نعت,pridjev,прилагателно,adjectiu,形容词,形容詞,pridjev,přídavné jméno,tillægsord,bijvoeglijk naamwoord,adjective,omadussõna,adjektiivi,adjectif,Adjektiv,επίθετο,adjektif,תואר השם,विशेषण,losyog khoom,melléknév,kata sifat,aggettivo,形容詞,Unitarian,adjective,,형용사,īpašības vārds,būdvardis,Kata sifat,aġġettiv,adjetivo,adjektiv,adjetivo,صفت,przymiotnik,adjectivo,adjectiv,Семантические свойства,придев,pridev,prídavné meno,pridevnik,adjetivo,Adjektiv,คุณศัพท์,Sıfat,прикметник,بشیشن,tính từ,ansoddair
الكبار,odrasla osoba,Възрастен,adult,成人,成人,odrasla osoba,dospělý,voksen,volwassene,adult,täiskasvanu,aikuinen,adulte,Erwachsenen,ενήλικας,gran-moun,מבוגר,वयस्क,tus neeg laus,felnőtt,orang dewasa,adulto,大人,watu wazima,nen,,성인,pieaugušajiem,suaugusiųjų,dewasa,għall-adulti,nukuch máak,voksen,adulto,بزرگسالان,dla dorosłych,adulto,Adult,Взрослый,одрасла особа,odrasla osoba,dospelý,odraslih,adulto,vuxen,ผู้ใหญ่,Yetişkin,для дорослих,بالغ,người lớn,oedolyn
بعد الظهر,popodne,следобед,a la tarda,下午,下午,popodne,odpoledne,eftermiddag,middag,afternoon,pärastlõunal,iltapäivällä,après midi,am Nachmittag,το απόγευμα,aprè midi,אחר הצהריים,दोपहर,tav su,délután,sore,pomeriggio,午後,mchana,pov,,오후,pēcpusdienā,po pietų,petang,waranofsinhar,Tuméen chúunk'iin,ettermiddag,'bu̲ ya nde,بعد از ظهر,po południu,à tarde,dupa-amiaza,После обеда,поподне,popodne,popoludní,popoldne,por la tarde,eftermiddag,ช่วงบ่าย,öğleden sonra,після обіду,سہ پہر,buổi chiều,y prynhawn yma
الهواء,klima,въздух,aire,空气,空氣,klima,vzduch,luft,lucht,air,õhu,Ilmastointi,Air,Luft,αέρα,de lè,אוויר,हवा,huab cua,levegő,udara,aria,空気,hewa,jejlaw',,공기,gaisa,oro,Penyaman,bl-ajru,iik',Air,ndähi,هوا,powietrza,ar,aer,воздуха,ваздух,vazduh,vzduchu,zraka,aire,Air,อากาศ,Hava,повітря,ہوا,Máy,aer
مطار,Zračna luka,летище,l'aeroport,机场,機場,Zračna luka,letiště,lufthavn,Luchthaven,airport,Lennujaama,lentokenttä,aéroport le plus pratique,Flughafen,Αεροδρόμιο,èpòt la,נמל התעופה,हवाई अड्डे,tshav dav hlau,repülőtér,Bandara,Aeroporto,空港,uwanja wa ndege wa,airport,,공항,lidosta,oro uostas,Lapangan Terbang,ajruport,Aeropuerto,lufthavn,Aeropuerto,فرودگاه,Lotnisko,Aeroporto,Aeroportul,Аэропорт,аеродром,aerodrom,letisko,letališče,Aeropuerto,flygplats,สนามบิน,Havaalanı,Аеропорт,ہوائی اڈے,Sân bay,maes awyr
على قيد الحياة,živa,жив,viu,活着,活著,živ,Alive,i live,levend,alive,elus,elossa,Alive,am Leben,ζωντανός,an vi,בחיים,जिंदा,ciaj sia,életben,hidup,vivo,生きています。,hai,alive,,살아,dzīva,gyvas,hidup,ħaj,kuxa'an,levende,vivo,زنده,przy życiu,vivo,în viaţă,жив,жив,živ,nažive,živ,vivo,vid liv,มีชีวิตอยู่,canlı,живий,زندہ,còn sống,yn fyw
حيوان,životinja,животните,animal,动物,動物,životinja,zvíře,dyr,dier,animal,looma,eläinten,animal,Tier,ζώο,animo,חיה,पशु,tsiaj,állat,hewan,animale,動物,mnyama,Qaj,,동물,dzīvnieku,gyvūnų,haiwan,annimal,ba'alche',dyr,me̲ti,حیوانات,zwierząt,animal,animale,животное,животиња,životinja,zviera,živali,animal,djur,สัตว์,hayvan,тварини,جانور,động vật,anifeiliaid
شقة,apartman,Апартамент,Apartament,公寓,公寓,Apartman,byt,lejlighed,Appartement,apartment,korteri,Huoneisto,Appartement,Wohnung,Διαμέρισμα,apatman,דירה,अपार्टमेंट,chav tsev,Apartman,Apartemen,Appartamento,アパート,ghorofa,apartment,,아파트,dzīvoklis,Apartamentai,Pangsapuri,l-appartament,Apartamento,Leilighet,Apartamento,آپارتمان,Apartament,apartamento,Apartament,Квартира,стан,stan,Apartmán,Apartma,Apartamento,Lägenhet,อพาร์ทเมนท์,Daire,квартири,اپارٹمنٹ,căn hộ cao cấp,fflatiau
أبل,jabuka,ябълка,Poma,苹果,蘋果,jabuka,Jablko,Apple,Apple,apple,Apple,Apple,pomme,Apple,μήλο,pòm,אפל,सेब,kua,Alma,Apple,Apple,アップル,Apple,'epIl naHmey, ,애플,ābolu,obuolių,Apple,tat-tuffieħ,Apple,Apple,Apple,اپل,Jabłko,Apple,Apple,яблоко,јабука,jabuka,Apple,jabolko,Apple,Äpple,แอปเปิ้ล,elma,яблуко,ایپل,Apple,afal
نيسان/أبريل,Travanj,Април,Abril,4 月,4 月,Travanj,Duben,April,April,April,Aprill,Huhtikuuta,Avril,April,Απριλίου,Avril,אפריל,अप्रैल,Tim,Április,April,Aprile,4 月,Aprili,april,,4 월,Aprīlis,Balandis,April,April,Abrile',April,Abri,آوریل,Kwietnia,Abril,Aprilie,Апрель,Априла,Aprila,Apríla,Aprila,Abril,April,เมษายน,Nisan,Квітень,اپریل,Tháng tư,Ebrill
ذراع,ruka,ръка,braç,手臂,手臂,ruku,rameno,arm,arm,arm,arm,Arm,bras,Arm,βραχίονα,Bra,הזרוע,एआरएम,caj npab,kar,lengan,braccio,アーム,mkono,DeS,,팔,roka,rankos,lengan,id-driegħ,k'ab,arm,brazo,بازوی,ramię,braço,braţul,рука,руку,ruku,rameno,roko,brazo,arm,แขน,kol,ARM,بازو,cánh tay,Cangen
الجيش,vojska,армия,l'exèrcit,军队,軍隊,vojska,armáda,hær,leger,army,armee,armeija,armée de terre,Armee,στρατός,lame,צבא,सेना,tub rog,hadsereg,Angkatan Darat,esercito,軍,Jeshi,mangghom,,육군,armija,armijos,Tentera Darat,l-armata,Ejército,hæren,Ejército,ارتش,Armia,Exército,Armata,армия,војска,vojska,armáda,vojske,Ejército,armén,กองทัพบก,Ordu,армія,فوج,quân đội,fyddin
الهجوم,napad,атака,atac,攻击,攻擊,napad,útok,angreb,aanval,attack,rünnak,hyökkäys,attaque,Angriff,επίθεση,atak,התקפה,हमले,nres,támadás,serangan,attacco,攻撃,shambulio hilo,yIHIv,,공격,uzbrukums,ataka,serangan,attakk,ataque,angrep,'na jar,حمله,atak,ataque,atac,Атака,напад,napad,útok,napad,ataque,attack,โจมตี,saldırı,напад,حملہ,tấn công,trawiad ar y
آب/أغسطس,Kolovoz,Август,Agost,8 月,8 月,Kolovoz,Srpen,August,Augustus,August,August,Elokuu,Août,August,Αύγουστος,Out,אוגוסט,अगस्त,Lub yim hli ntuj,Augusztus,Agustus,Agosto,8 月,Agosti,august,,8 월,Augusts,Rugpjūtis,Ogos,Awissu,Agosto,August,Hñethe,اوت,Sierpnia,Agosto,August,Август,Августа,Avgusta,Augusta,Avgust,Agosto,Augusti,สิงหาคม,Ağustos,Сер,اگست,Tháng tám,Awst
بيبي,beba,бебе,nadó,宝贝,寶貝,beba,dítě,baby,baby,baby,Baby,vauva,bébé,Baby,μωρό,timoun piti,התינוק,बेबी,tus me nyuam,baba,bayi,bambino,赤ちゃん,mtoto,ghu,,아기,bērnu,kūdikis,bayi,tat-trabi,le chan paalo',Baby,ma hmäte'i,نوزاد,dziecko,bebê,Baby,Детские,беба,beba,Baby,otroka,bebé,Baby,เด็ก,Bebek,дитина,بچے,em bé,babi
مرة أخرى,leđa,назад,esquena,返回,返回,natrag,zpět,tilbage,Terug,back,tagasi,takaisin,Précédent,Zurück,πίσω,Do,בחזרה,पीठ,tom qab,vissza,kembali,Indietro,戻る,nyuma,chap,,뒤로,atpakaļ,atgal,belakang,lura l-,Paachil,tilbake,Atrás,پشت,Wstecz,Voltar,spate,Назад,назад,nazad,späť,nazaj,Atrás,tillbaka,ย้อนกลับ,Geri,назад,پیٹھ,trở lại,yn ôl
سيئة,loše,Лош,dolent,坏,壞,loše,Špatné,Dårlig,slechte,bad,Paha,Paha,mauvaise,schlechte,Κακό,move,רע,ख़राब,phem,rossz,Buruk,cattiva,悪い,mbaya,qab,,나쁜,slikts,blogas,buruk,ħażina,K'aas,dårlig,ts'ojä'i,بد,zły,mau,rău,плохо,лоше,loše,zlý,slabo,mala,Dålig,ไม่ดี,kötü,Поганий,برا,Tồi,drwg
حقيبة,torba,чанта,bossa,袋,袋,torba,pytel,taske,tas,bag,kott,laukku,sac,Tasche,τσάντα,sak,תיק,बैग,hnab,táska,tas,Borsa,バッグ,Mfuko,bag,,가방,soma,krepšys,Beg,borża,póoj,bag,bolsa,کیسه,worek,saco,sac,сумка,торба,torba,taška,vrečko,bolsa,väska,ถุง,çanta,сумка,بیگ,túi,bag
الكرة,lopta,топка,pilota,球,球,lopta,míč,bold,bal,ball,pall,pallo,Ball,Kugel,μπάλα,boul,הכדור,गेंद,pob,labda,bola,palla,ボール,mpira,QujmeH moQ, ,공,balle,kamuolys,bola,ballun,wóoliso',ballen,Nuhni,توپ,Piłka,bola,mingea,мяч,лопта,lopta,guľa,žogo,bola,Ball,ลูกบอล,Top,м'яч,گیند,quả bóng,pêl
الموز,banane,банан,plàtan,香蕉,香蕉,banana,banán,banan,banaan,banana,banaan,banaani,banane,Banane,μπανάνα,bannann fig,בננה,केले,txiv tsawb,banán,pisang,Banana,バナナ,ndizi,banan naH, ,바나나,banānu,bananų,pisang,tal-banana,ja'as,banan,plátano,موز,banan,banana,banane,банан,банана,banana,banán,banana,plátano,banan,กล้วย,muz,банан,کیلا,Chuối,banana
